experiment,algorithm,baseline,episodes,seed,avg_reward,final_avg_10,final_avg_50,final_avg_x_delta_50,best_reward,best_x_delta,elapsed_time_sec
reinforce_no_baseline,reinforce,,300,42,62.192190530566876,23.040279400548336,18.090764847584694,0.012140119403465006,,,7.139580249786377
reinforce_baseline_10.0,reinforce,10.0,300,42,64.07507684616733,44.9033385584615,36.63653234959923,0.11278081702807126,,,6.238732099533081
reinforce_baseline_20.0,reinforce,20.0,300,42,60.3379637262158,62.45495450409535,68.95847377554765,0.21145004979663296,,,6.221900939941406
reinforce_baseline_50.0,reinforce,50.0,300,42,116.65098494068118,116.33586029051833,121.01942614803015,0.38393918205956923,,,9.192070007324219
actor_critic,actor_critic,,300,42,98.6070673554228,895.3472555807908,329.17795074271737,0.1840514165773475,1026.338276535969,0.23062757262978487,10.993412971496582
