episode,reinforce_no_baseline,reinforce_no_baseline_x_delta,reinforce_baseline_10.0,reinforce_baseline_10.0_x_delta,reinforce_baseline_20.0,reinforce_baseline_20.0_x_delta,reinforce_baseline_50.0,reinforce_baseline_50.0_x_delta,actor_critic,actor_critic_x_delta
1,6.443375642364996,-0.02829526761098085,6.443375642364996,-0.02829526761098085,6.443375642364996,-0.02829526761098085,6.443375642364996,-0.02829526761098085,6.443375642364996,-0.02829526761098085
2,9.15635065294794,-0.07851976716429061,3.704938973993482,-0.02622833156323097,3.0863800925839127,-0.03915244787055001,3.0781724662584002,-0.03921788367477899,9.903067355474366,-0.10449409911592379
3,10.286846846439147,-0.08537133516615467,2.8984345414225574,-0.024674455196710972,3.5478995521301098,-0.03546030862884993,3.5304310624529607,-0.03559928276258335,11.302412150811127,-0.04531400812474115
4,9.913013947114354,-0.23207355808699132,3.7050487945013293,-0.026246838638835708,4.561330652068383,-0.027367941360868404,4.588571393367628,-0.027150974654221692,22.195149408073057,-0.0939103564202719
5,11.06634694804904,-0.08708497292882941,2.3373309942359204,-0.03717775892649136,5.035663587827904,-0.023558755197370662,4.916216554091019,-0.01652966036474194,13.135254792617024,-0.030640481302370532
6,8.27882594172757,-0.21319336729776056,2.8340666961505914,-0.02520321142495878,6.065680143832454,-0.01537392159247963,5.016574574295302,-0.015763702158899155,10.103354122446012,-0.007031561761013408
7,7.297264645565587,-0.22105903597578178,4.535140688138419,-0.019598236264092017,6.124550180252138,-0.014894174483809927,6.633811580887477,-0.018802160642695104,10.27296097614564,-0.0056331131189507316
8,12.679142122967528,-0.22582906606782685,5.766525010127322,-0.01773998329815471,5.027238437982861,-0.015680593913297153,4.8694193619067905,-0.016942216510156444,18.360685018105908,0.003137048591483469
9,9.661076852431139,-0.25001073865254525,2.897791354022084,-0.024708060569114225,4.841055957127861,-0.017151876553144044,5.896638671051929,-0.01669064076223795,15.081025066380697,0.016880809066812157
10,16.708110095323892,-0.21759149291299362,7.762524987634471,-0.017743611100701877,5.45530286302178,-0.020219251891930193,5.455187276823874,-0.02022181097329812,18.295232545502955,0.018634959298919944
11,16.828124503258124,-0.1606981177386979,2.8952984914946764,-0.024724121476993394,5.492009310443863,-0.01993205263980496,9.587706350048089,-0.02709050646909312,23.029075213529914,0.032552933177536714
12,33.32501202343099,-0.18836329743137412,9.800733508849307,-0.025350878872679346,3.3963666891513613,-0.020704900675250413,3.7689805785263575,-0.017740281493310136,-0.916816067027854,-0.15094082730522004
13,55.486527237694226,-0.12262607716718701,3.9896851012083547,-0.023948797049067296,4.952231884607994,-0.02422092052547675,3.3401106185197227,-0.02116520158824969,31.36547189744726,0.07526694483800062
14,32.03010833187937,-0.2385620654605198,3.0494468113445485,-0.023471967339306475,3.4060281400340164,-0.02062102515247872,6.575316209002384,-0.019266452772744108,0.8836721174099921,-0.1605187780327965
15,49.057641859917624,-0.19818795347000143,3.157509375768085,-0.03061348456798252,3.786338353036462,-0.017593434617053517,8.87277294006068,-0.024839431252430415,194.99457108541284,0.793446750010825
16,39.69520795214225,-0.18519564583682632,2.8196031289788315,-0.025333648841307774,4.88303615093816,-0.016822043135596217,4.335607059871544,-0.02118621850557812,187.6209447993153,0.7266030356861071
17,60.30879776973799,-0.2120041717359006,3.4037638316745964,-0.02862938912821181,4.59320692279886,-0.019154539860014058,4.3343187883168115,-0.0212297967670205,222.4276660689223,0.9971013573776153
18,22.538320021492936,-0.2347332896386568,4.358154103885745,-0.02897223238364334,4.686458690609455,-0.01838435387447738,4.483241945595779,-0.02000843522571534,62.454545954754536,0.17238824074976128
19,28.8959142447722,-0.2237092924127484,2.8956870319817756,-0.024717055675527025,4.655514207877426,-0.018646164620099798,4.029835288979969,-0.023643390539341273,55.926793864889824,0.1601148768962532
20,13.317698798271513,-0.22861524513743325,3.946434680414052,-0.02429113081302761,4.733971576999106,-0.018004125344669997,3.8247927896949308,-0.025271514192602904,58.03180505493401,0.1689223457920645
21,37.574427594109416,-0.24209043143809605,2.554744381631514,-0.02743957735470851,4.2559381866973265,-0.021844300929608648,4.185593332972354,-0.022394087684899765,0.6010689446796484,-0.11493580114565731
22,11.33907507725927,-0.22849569046907636,2.357936215820901,-0.03699883299205309,3.8795981186231514,-0.0248343552411393,3.5236435024960495,-0.019687118989766716,44.00140051912277,0.1125929349135565
23,9.932757641543759,-0.2158304811149453,2.4449071121065304,-0.03628505480969073,4.6657044756589166,-0.018535671922542393,3.665037358884006,-0.018585301765410192,21.064532093954785,0.04881769386587699
24,8.368202740850686,-0.22834032947490504,2.809933077497705,-0.025383563904417164,3.3287193208701087,-0.021258215958780708,6.669292025389262,-0.018483859766467513,35.623356081717176,0.10143542610162865
25,7.617385801734758,-0.22637929198215617,2.289177087779857,-0.029550048431428135,4.359950168138587,-0.020993621381713203,4.359514006820874,-0.021011819566030848,0.7373965769315012,-0.08984261633069973
26,8.090181513723163,-0.22257417192700363,2.4682840840779385,-0.028115141361266263,3.991809673894201,-0.015949025628179278,4.861912346148422,-0.024951407034683765,37.90512843915822,0.10376853843665135
27,6.116639980954424,-0.21442215302719675,2.9492530033753304,-0.024269895700322803,4.66495684713771,-0.01854731332630713,4.546019503124791,-0.0195006468457521,30.419479106049444,0.0837825058506386
28,6.622033630242358,-0.21836541740711204,4.494493838672859,-0.01989090883918585,3.982736220093855,-0.02400786961863606,3.9974264835491766,-0.02390861816090346,17.184510328374294,0.033733158959086636
29,6.137480979047389,-0.20623636362010506,2.457718079801213,-0.036188753594908626,3.57065010006994,-0.019342026714661124,4.136487374671347,-0.022759685397084187,28.583204164187684,0.07704836988958175
30,5.3667664799938715,-0.19646980397967487,7.353570561028583,-0.03695289648867001,3.903813260816433,-0.0246438289278118,4.072919677421395,-0.02329993116438433,29.01920954822701,0.08054156070321417
31,10.734978781795704,-0.2093773658229812,2.792588701016623,-0.025523045507376052,4.279793362919066,-0.02164785006186506,5.575497511986112,-0.027220515758488852,13.115303046521804,0.017155784998395124
32,5.7001153954838815,-0.20178183587886883,2.5502178269796976,-0.03545927583263444,3.4326335304851314,-0.020409991625885183,3.7971435774242956,-0.01751433013274186,42.43032354926158,0.10005169445602799
33,5.883169391749886,-0.20030677959157156,3.044249709067238,-0.03148517913677301,3.296559136549857,-0.02150873139254072,2.7748143400515017,-0.025686194750336892,38.39145120381253,0.09964372814360749
34,4.758495378889998,-0.20130819331329378,1.9203537463168088,-0.040481563707177017,3.2067182389099655,-0.022221482756933166,2.9078783828827715,-0.02462203231079342,44.81779960932092,0.10318577043594959
35,6.187052369783831,-0.20585522431985134,2.746198868425133,-0.025891643120515808,3.934233470549695,-0.01639513514621645,2.8603097990923843,-0.025017137731414056,40.9506461354424,0.09617855408758272
36,5.809026757398268,-0.2009301908413647,12.711399117034617,-0.018051598279023626,3.1081350358864634,-0.023016058552629972,6.643112285550798,-0.02670534832957297,45.5273746286375,0.11681666142061772
37,5.292668288433921,-0.20504132649926846,6.0435842735031775,-0.03941094224034983,3.0882817691676863,-0.023182823916345397,2.6852454870582703,-0.026397123225497338,40.20384662386756,0.09020672776293595
38,5.412133357801614,-0.22004023330276348,4.019373328927939,-0.03964756916424604,3.123991126734836,-0.02287818415674509,2.8110139111668824,-0.025396715172456934,44.85466370787728,0.1194628728334514
39,5.418691120326045,-0.2040291211800613,3.571788420848833,-0.027266721167144882,4.3679807570302716,-0.020938095020036518,3.9085365363311877,-0.024577659115829386,43.47351438365825,0.11641093572699597
40,5.223688708807325,-0.21354068992308542,3.691813238202966,-0.026326728947167106,3.163056125898998,-0.022585316984972632,3.895504176221972,-0.024717261659918745,42.15741649641149,0.10589666312325421
41,6.125485217231764,-0.19835844658932486,2.613704697064765,-0.02695010490471357,3.0464099482164073,-0.023509113282310732,3.033029874700893,-0.023624807884068576,41.391168008857264,0.10770555895847723
42,6.459284022631147,-0.2116537311386911,2.671086739297257,-0.026507167576348415,3.508120249891642,-0.01980570282821367,3.756099781714165,-0.025813227268518736,43.79277685345293,0.12694803459843645
43,6.676074466195911,-0.2179107184784634,14.638016352067279,-0.018546621039312032,3.151986289221253,-0.022665388840053827,3.5352125837757464,-0.01961894701007662,39.94307867632517,0.10412024170003013
44,5.509827774265976,-0.2112932483007147,7.397570439494124,-0.02859930870790108,4.054901204800382,-0.023412824138833877,3.5488467794098155,-0.027506174125164592,38.77831349941176,0.1027969464871154
45,5.90151154012016,-0.20817249855752534,66.89292540282426,0.2079872496142721,3.612297478282107,-0.018985416646292583,6.474950659440145,-0.028034698733916407,40.72408576504048,0.11038337331324068
46,6.176378737911878,-0.21392164886104822,66.66143281511162,0.20612476526957307,4.570583039416662,-0.019290113521466323,20.36736594210453,-0.004726299606213001,39.24583877385874,0.10652855812082447
47,6.2256523618289785,-0.21354231882509472,64.86212358229977,0.1997254841131864,4.36872098726862,-0.02091137925189071,4.640411653576779,-0.018750812055122953,38.4267354347766,0.09997951621918716
48,7.360232694381028,-0.2203987228174722,60.07657310023989,0.18538168142820088,7.363560119394089,-0.02091358524128894,10.161688427919653,-0.02244897130398349,3.3826597100613034,-0.04478080486669738
49,7.295453323208193,-0.22092768541937752,60.076582667747836,0.1853861565755183,3.9961175211455493,-0.015900914103678013,7.419784345163426,-0.020463710827720003,40.53686327426213,0.10887798623216774
50,7.54738194433999,-0.22693128944745447,61.427098898919866,0.18820134925677337,8.092701615007181,-0.01505868301652703,8.169597344920657,-0.022442456026191535,39.37982634119322,0.10760931871065534
51,21.529982401235753,-0.2347786413966509,53.888377380499385,0.16777361369998559,4.787687810122059,-0.017578029246814363,36.25560435395218,0.03461906478252225,42.20023264584212,0.12217085270478477
52,8.05114099651318,-0.23087996983291775,59.13657025281378,0.18581099229175155,4.9070450530061205,-0.01660501096247906,13.476909330865537,-0.01987949313433333,42.72417465574658,0.11839910024794871
53,15.207556127879467,-0.23750528943845872,53.931128424632426,0.16814719119062327,6.3735446181192685,-0.020838158361518627,39.948841634641006,0.04017896828802363,39.58754590682565,0.10131140427910316
54,10.077854237645788,-0.22262160970234932,55.337225031902754,0.17138828861085867,4.788202667480427,-0.017560639279320098,16.069103296965512,-0.007155029534577119,41.015322434611846,0.10473065476375996
55,32.78731632026543,-0.23243002530697907,56.86175397776959,0.17561139405436496,5.07567433883586,-0.015272054607245258,148.89738604192155,0.34502346923551724,39.64355396629494,0.10176758351525637
56,13.038548147984354,-0.23087584709781006,55.42219358624034,0.1721163834868283,3.961810021587289,-0.01618121778338689,46.05686030789935,0.07309934768650724,40.284235359428656,0.10686092056177732
57,33.27994527801186,-0.22860756552201023,57.06129607274622,0.1772259323980403,4.802798308635615,-0.017432732246201333,109.49831666856865,0.1815487573704604,38.508172365852225,0.10064525576550183
58,13.01750341125074,-0.23103605512557482,58.72892046742797,0.18258205390780446,11.433349571216873,-0.020305650308698235,3.7847884072729845,-0.02560796147293337,40.84127508795805,0.11132214418415609
59,35.96074142710019,-0.23111154012841792,58.77338161608008,0.18294853537817216,4.164861849042669,-0.02253535562536799,222.35993550170062,0.5177153766539566,3.5460125917206287,-0.043477686748496634
60,28.351357347997553,-0.23605711637471094,58.92931289032641,0.1842045344393683,5.935511467208882,-0.01635481904418929,142.6199225153068,0.33481852367332754,43.64403755439719,0.12576080747996973
61,83.38671905772766,-0.22674889805182827,58.49438346116406,0.18069121544588884,7.781691032680052,-0.017534537746173726,176.53640660544258,0.5741534890114482,39.58731861067399,0.10926019502930526
62,55.18799130460785,-0.2130473037683832,65.51615830316024,0.20499898308864253,4.930291801073164,-0.016406136060889483,129.1641286618349,0.4746113317353224,40.239578598753184,0.1065446261407183
